modulo;temps_secondes
1;130,962048
1;129,942830
1;130,472270
10;28,370512
10;28,041928
10;28,023200
20;22,424280
20;22,409629
20;22,432255
30;21,313051
30;21,299420
30;20,786698
40;19,968936
40;20,550229
40;19,976088
50;19,535006
50;19,560766
50;19,603361
60;19,208254
60;19,422131
60;19,232389
70;19,473124
70;19,529336
70;19,610541
80;19,566853
80;19,599415
80;19,661415
90;19,469817
90;19,693881
90;19,496954
100;19,498748
100;19,365912
100;19,324230
110;19,711316
110;19,739728
110;19,768728
120;19,848802
120;20,105976
120;19,908438
130;20,021012
130;20,101241
130;20,045687
140;20,001967
140;20,130871
140;21,239014
150;20,755229
150;20,439690
150;20,251178
160;20,648106
160;20,608903
160;20,661506
170;21,126748
170;20,996306
170;21,030270
180;21,253547
180;21,330763
180;21,238522
190;21,390304
190;21,565187
190;21,364700
200;21,269928
200;21,174412
200;21,208683
210;21,808191
210;21,637225
210;21,722434
220;21,984329
220;21,940998
220;21,964846
230;22,933770
230;23,133125
230;23,241912
240;22,949421
240;22,314580
240;22,284425
250;22,579163
250;22,615904
250;22,623298
260;22,285213
260;22,746845
260;22,282243
270;22,408276
270;22,436815
270;22,496595
280;23,383150
280;23,328220
280;23,425388
290;23,514527
290;23,304450
290;23,310941
300;23,421414
300;23,453648
300;23,576367
310;24,160097
310;23,873722
310;24,027484
320;24,281105
320;24,299781
320;24,889958
330;25,041581
330;24,944473
330;24,939032
340;25,317790
340;25,085194
340;25,111423
350;25,161767
350;25,297608
350;25,347265
360;25,045897
360;25,010938
360;25,166317
370;25,639502
370;25,631542
370;25,621644
380;25,478194
380;25,505610
380;25,555212
390;25,792214
390;25,822261
390;25,708808
400;25,614775
400;25,443207
400;25,567899
410;26,423603
410;26,489504
410;26,338847
420;26,195739
420;26,379083
420;26,199119
430;26,766984
430;26,823829
430;26,929015
440;26,896168
440;27,165960
440;26,903607
450;27,448815
450;27,523608
450;27,666447
460;27,269378
460;27,289760
460;27,377460
470;28,029276
470;27,904150
470;27,835738
480;28,352791
480;28,227579
480;28,282135
490;28,926772
490;29,263711
490;28,912376
500;29,551050
500;29,488209
500;29,479411
510;28,584330
510;28,517230
510;28,842595
520;29,182853
520;29,276238
520;29,022367
530;29,657562
530;29,664108
530;29,672703
540;29,611446
540;29,271986
540;29,097410
550;29,357005
550;29,460960
550;29,382303
560;29,573152
560;29,943510
560;29,549265
570;29,435239
570;31,696372
570;32,677841
580;32,404723
580;29,887459
580;30,140837
590;29,790923
590;29,872903
590;29,831842
600;29,822037
600;29,707087
600;29,792774
610;30,223556
610;29,722462
610;29,682076
620;30,044775
620;30,221864
620;30,096010
630;30,131008
630;30,299740
630;30,028235
640;30,463602
640;30,592260
640;30,505605
650;30,551246
650;30,678533
650;30,542563
660;30,467751
660;30,296038
660;30,246464
670;30,331570
670;30,411990
670;30,557251
680;30,614927
680;30,455701
680;30,469084
690;30,801492
690;31,290908
690;31,050400
700;31,197826
700;30,784584
700;30,845141
710;31,049569
710;30,986238
710;31,002652
720;31,609609
720;31,456705
720;31,157009
730;31,754512
730;31,815108
730;31,669081
740;31,711886
740;31,622528
740;31,998043
750;31,920009
750;31,887119
750;31,869130
760;31,892654
760;31,728218
760;31,786335
770;32,394712
770;31,969686
770;32,214188
780;32,592292
780;32,530553
780;32,474087
790;33,086447
790;33,280565
790;32,898306
800;33,084649
800;33,512815
800;33,094353
810;32,715974
810;33,007237
810;33,377603
820;33,684767
820;33,722305
820;33,691688
830;33,301419
830;33,535090
830;33,417906
840;34,022798
840;33,616100
840;33,675526
850;33,981018
850;33,908835
850;33,855583
860;33,855343
860;34,174288
860;33,880862
870;33,958839
870;33,949334
870;33,956832
880;34,528281
880;34,665564
880;35,248425
890;34,468979
890;34,415028
890;34,282055
900;34,853164
900;34,878874
900;34,880846
910;35,959235
910;35,855867
910;35,760352
920;35,994367
920;35,787461
920;35,635594
930;36,073061
930;35,922620
930;35,911493
940;35,539432
940;35,495462
940;35,577304
950;35,922764
950;36,257740
950;36,020339
960;36,064403
960;36,019111
960;36,040344
970;35,857091
970;35,864473
970;36,152494
980;37,407936
980;37,255639
980;36,876068
990;36,772792
990;36,822114
990;36,903870
1;130,355909
1;129,769647
1;130,514283
2;75,423137
2;76,222350
2;75,398421
3;57,011540
3;59,820803
